comment,rating
"V?i có chút m?ng , c?ng và nóng c? tay c? áo may to thô",4
Áo m?ng và có dính chút màu do in nên cho shop 4 sao,4
"Áo ?n l?m ?, c? áo h?i d?, khá nhi?u ch? th?a, hình in h?i m? không ?n l?m nhma c?ng ???c. Tr? 1* vì c? áo d? thôi ?.",4
V?i m?ng ?ng tay h?i bé,4
 hàng ko gi?ng ?nh ?ã th? còn b? rách m?t ch? :(((((,4
2 b? h?ng vàng ch?t t?m ?n. b? màu tím và ?? ch?t nh?o nhoét luôn không mê dc.,1
"Nh?n ?? s? l??ng,tuy nhiên th?t s? ko hài lòng l?m,shop g?i hàng th?y dính màu trên s?n ph?m v?y mà v?n g?i cho khách ??n ch?u,nh?n tin cho shop ko th?y shop ph?n h?i m?c dù có.Các m?u khác nhìn chung ?n phù h?p giá ti?n ",1
Hàng không gi?ng hình. Hàng fake,1
"Ch? ra làm sao, ??t ba b? khác nhau, l?i giao hai b? màu vàng y h?t nhau",1
Áo hình tim  có ch? sissy girl gi?t lên b? lem. H?t s?c th?t v?ng. ,1
R?t khác so v?i hình shop ??ng ?. M?i ng??i mua nh? ib h?i k? ?nh th?t. ??ng nh? mình nhé. ,2
"Shop có g?i ý ko ?ng có th? tr?. Nh?ng do ? xa nên mình nh?n luôn. """,2
Khác hình hoàn toàn. ,2
"Nh?n hàng th?t v?ng quá, s?n ph?m bên ngoài khác ?nh shop ??ng.",2
Ch?t v?i và ???ng may r?t x?u,2
Ch?t kém quá,2
"B? qu?n Áo ?? b? phai màu, cùng trong thành ph? mà giao lâu quá.",3
M?u này giao sai màu.mình ??t bóng vàng mà giao bóng cam.h?t màu mà không th?y shop báo gì,3
Mình ??t màu khác shop l?i giao màu h?ng.  Quá chán,3
Bán ?? ??a tào lao . Ngh? sao ??a 2 b? gi?ng nhau . ??t cái này ??a cái khác  2 cái áo 3 cái qu?n gi?ng nhau ,3
Hàng ko gi?ng ?nh ch?p,3
"Trên hình áo may n?i ?ám mây v?i ngôi nhà l?i nh?n ???c áo in, v?i t?m ?n. H?i ??t so v?i t?m giá. Mình mua ? nhà hành r? ??p h?n nên khá th?t v?ng... hàng giao nhanh",3
"1 chi?c áo b? l?i, phù h?p v?i giá ti?n c?a s?n ph?m",3
Hàng không gi?ng nh? hình. V?i giá c? nh? v?y t?m ch?p nh?n ???c. Mong shop khi bán ??ng hình th?t ?? ng??i mua không b? h?t h?ng.,3
"Thun m?ng, ???ng may ko ch?c, hình in ko nét, ko ??p nh? qu?ng cáo, nh?ng shop nhi?t tình nên cho 3 sao! ",3
Mua 3 b? ch? hài lòng ???c 1 b? 2 b? nhà h?ng v?i nha vàng. V?i thô x?u. K?t h?p gi?a qu?n v?i áo không h?p. ,3
"Giá khá r? tuy nhiên ch?t li?u ko ?c ??p cho l?m, nhìn ngoài c?ng ko gi?ng trên ?nh. Trông ??u h?n, nh? ki?u hàng fake 2, fake 3 gì ?ó",3
S?n ph?m không gi?ng mô t? qu?n sai m?u trên ?nh m?u khác giao hàng l?i m?u khác mong shop l?n sau ??ng ?úng hình ?? cho m?i ng??i d? l?a ch?n ,3
??t 5 món mà nh?n ???c có 4 món. Shop giao thi?u hàng . g?i ?i?n tho?i thì ko b?c máy là sao ? ? B?c ghê ,3
"V?i áo m?ng te,qu?n quá bình th??ng",3
Hàng nh?n không gi?ng hình.ch?t không ?c mát l?m nh?ng giá th? là h?p lý r?i.,4
"Hàng y hình, màu r?t ??p ",4
Ch?t v?i c?ng m?m,4
"Qu?n thì ch?t bún, m?ng nh? mát. Áo thì có v? ch?t nóng h?n, b? mình mua nó còn may l?i",4
Ch?t ok nh?ng g?i ch?a ?úng m?u mình ch?n. Giá r? nên thôi c?ng ok. ,4
"Giao hàng siêu nhanh, nhìn ?nh mình ngh? là hình n?i, không ngh? là hình in nh? này, màu c?ng choé h?n so v?i ?nh",4
"Giao hàng nhanh chóng, qu?n áo ??p nh?ng mà gi?t ra màu ",4
s?n ph?m ko gi?ng trong hình. Qu?n b? vài v?t b?n. ,4
8.5kg -7 ??n 9kg h?i bé vàng không gi?ng m?y  h?ng và qu?n ok ch?t l??ng ok v?i giá ti?n,4
 Bé nhà mình 8 kg mà h?i ch?t,4
Ok,4
Qu?n ko ??p nh? hình. ,4
Cá nhân mình ko thích giun qu?n cho l?m ,4
"Vì giun này hay xoay tròn m?c tr? khó ch?u """,4
"Ch?t v?i thun m?m,h?p v?i giá ti?n",4
Hàng không gi?ng ?nh,4
hàng mua sale 35k thêm ship là 15k nói chung màu h?i x?n so v?i ?nh ch?t c?ng dc phù h?p giá ti?n ,4
"B? này h?t! Shop ??i b? khác. Màu s?c h?ng c?ng. Nh?ng tay thun, bé m?c b? ch?t ",4
"Hàng gi?ng mô t? , ch?t li?u t??ng ??i m?m ",4
Ch?t v?i ok. Màu h?i ??m so v?i hình,4
"Áo thì ?úng mà qu?n thì l?i màu H?ng, không gi?ng m?u",4
C?ng ???c. Màu s?c ko gi?ng hình m?u,4
Ch?t l??ng r?t r?t t?t v?i m?c mùa hè r?t mát nh?ng hàng còn m?y cái ch? th?a ,4
"s?n ph?m ch?t li?u v?i c?a qu?n không gi?ng trên hình.t?m ???c,ti?n nào c?a n?y ",4
"giao nh?m 1 b?, nh?ng ok v?n d? th??ng",4
Th?y ?ánh giá cao nên mua nh?ng khá th?t v?ng. ,4
"Tuy nhiên công b?ng mà nói thì nó t??ng x?ng v?i giá ti?n. """,4
2 b? màu h?ng nh?ng 1 qu?n h?ng 1 qu?n tím. Qu?n ??y m?c v?i c? 2 cái áo ??u th?y l?ch ,4
Ch?t v?i t?m ?c so vs giá ti?n có 1 cái l?m b?n do mà c? t??ng gi?t s?ch nh?ng l?i không s?ch. Màu vàng phai màu r?t m?nh,4
Ch?t v?i ok h?p v?i giá ti?n,4
??p. ,4
"Màu ??m h?n trong ?nh, ch?a m?c th? nên ko bi?t có v?a ko. Phù h?p giá ti?n",5
"Áo qu?n ??p, ti?c là nh?n hàng m?i bi?t mình quên ko áp mã sale, bi?t shop ? thái bình g?n nhà l?n sau s? ?ng h? ti?p",5
"Ch?t v?i mát m?c thích h?p trong mùa hè, m?i t?i xa nên ??i h?i lâu, sai phân lo?i hàng chút nh?ng v?n ok",5
Ch?t l??ng phù h?p v?i giá ti?n.n?u yêu c?u cao h?n v? ch?t v?i c?ng nh? ???ng m?y thì c?n suy ngh? l?i,5
"Shop giao hàng nhanh, ?óng gói c?n th?n, giao ?úng màu ?úng size. Ch?t li?u v?i ?n so v?i giá !",5
"Giao hàng ch?m, hàng ?óng gói c?n th?n. Giao ?úng m?u nh?ng hàng có mùi hôi khó ch?u.",5
"Trên ?nh thì ??p ? ngoài ch?t v?i h?i nóng m?c không th?m m? hôi, shop giao hàng nhah ?óng gói c?n th?n",5
Ch?t h?i x?u ,1
Màu không gi?ng nh? hình ??ng. ,1
"???ng may c?u th?, áo không gi?ng hình",2
Màu quá khác xa hình,2
9-12kg mà th?y h?i nh?,3
"T?m ?c thôi,giá cao so v?i ch?t l??ng ",3
Hàng nh?n không gi?ng hình.ch?t không ?c mát l?m nh giá th? là h?p lý r?i.,4
"Áo thì ??p,nh?ng qu?n h?i x?u",4
B? vàng h?i khác so v?i hình ,4
d? th??ng,4
T?m ???c,4
Riêng b? này shop nên ch?p ?nh th?t s?n ph?m cho khách hàng ?? sock nhé. ,4
"B? tim vàng ? ngoài màu khác so v?i trên ?nh nhé. Nh?ng ch?t l??ng v?i ???c, ki?u dáng d? th??ng nè. Shop tr? l?i tin nh?n r?t t?n tình ",4
"Giao hàng nhanh, ch?t v?i mát nh?ng màu không ?úng. Mình ??t màu h?ng mà l?i giao màu tím. Ch?n mãi m?i ?c góc màu g?n gi?ng th?t, ?nh ch?p sáng h?n r?t nhi?u",4
Khác nhi?u so v?i hình nh?ng s? v?i giá ti?n thì v?n 4*,4
"Áo r?t ??p vãi ok giá ti?n l?i r? n?a .... chúc shop mua may bán ??t nhé.....................,...,...................",5
"Màu ? ngoài ??m h?n trong ?nh ? , v?i c?ng m?m m?i . So v?i giá thì r? so v?i ch? ? . ?óng gói c?n th?n . Giao hàng khá nhanh",5
"S?n ph?m ??p, ch?t li?u mát, phù h?p v?i giá ti?n, giao hàng nhanh, shop ph?c v? nhanh....",5
"Ch?t v?i mát m?c thích h?p trong mùa hè, m?i t?i xa nên ??i h?i lâu",5
Áo tim vàng ??p.ch?t v?i t?m OK.giao hàng nhanh chóng...giá r?...,5
Giao hàng nhanh hàng gi?ng hình ?nh v?i m?m m?n............,5
???c nha ,5
"Hàng gi?ng hình, ??p, v?i mát, giao hàng nhanh, khá hài lòng.",5
Màu ??m h?n trong ?nh nha mn bé 10kg- 10tháng m?c b? dài r?ng nha. Giao hàng siêu nhanh!!!!!!!!!!!!!!!!,5
"Ch?t li?u ok, ?? ??p l?m..............................",5
"Qu?n áo r?t xinh, phù h?p v?i giá ti?n, ch?n ?úng size cho bé là ok nhé các m?.",5
