comment,rating
"V?i c?????ng , c?ng v???c? tay c? ?may to th??
¯ m?ng v???nh ch???do in n?cho shop 4 sao,4
"¯ ?n l?m ?, c? ?h?i d?, kh?hi?u ch? th?a, h? in h?i m? kh???n l?m nhma c?ng ???c. Tr? 1* v?? ?d? th??.",4
V?i m?ng ?ng tay h?i b?
 h? ko gi?ng ?nh ??h? c??? r? m?t ch? :(((((,4
2 b? h?ng v? ch?t t?m ?n. b? m?t?v?? ch?t nh?o nho?lu??h??m?c.,1
"Nh?n ?? s? l??ng,tuy nhi?th?t s? ko h?l??l?m,shop g?i h? th?y d? m?tr?s?n ph?m v?y m??n g?i cho kh? ??n ch?u,nh?n tin cho shop ko th?y shop ph?n h?i m?c d??.C?m?u kh?nh?chung ?n ph??p gi?i?n ",1
H? kh??gi?ng h?. H? fake,1
"Ch? ra l?sao, ??t ba b? kh?nhau, l?i giao hai b? m?v? y h?t nhau",1
¯ h? tim  c??? sissy girl gi?t l?b? lem. H?t s?c th?t v?ng. ,1
R?t kh?so v?i h? shop ??ng ?. M?i ng??i mua nh? ib h?i k? ?nh th?t. ??ng nh? m? nh?,2
"Shop c??i ?? ?ng c??? tr?. Nh?ng do ? xa n?m? nh?n lu??""",2
Kh?h? ho?to? ,2
"Nh?n h? th?t v?ng qu?s?n ph?m b?ngo?kh??nh shop ??ng.",2
Ch?t v?i v???ng may r?t x?u,2
Ch?t k?qu?
"B? qu?n ¯ ?? b? phai m? c??trong th? ph? m?iao l?qu?,3
M?u n?giao sai m?m? ??t b??v? m?iao b??cam.h?t m?m?h??th?y shop b?g?
M? ??t m?kh?shop l?i giao m?h?ng.  Qu?h?3
B??? ??a t?lao . Ngh? sao ??a 2 b? gi?ng nhau . ??t c?n???a c?kh? 2 c??3 c?qu?n gi?ng nhau ,3
H? ko gi?ng ?nh ch?p,3
"Tr?h? ?may n?i ??m?v?i ng??h??i nh?n ???c ?in, v?i t?m ?n. H?i ??t so v?i t?m gi?M? mua ? nh?? r? ??p h?n n?kh?h?t v?ng... h? giao nhanh",3
"1 chi?c ?b? l?i, ph??p v?i gi?i?n c?a s?n ph?m",3
H? kh??gi?ng nh? h?. V?i gi?? nh? v?y t?m ch?p nh?n ???c. Mong shop khi b???ng h? th?t ?? ng??i mua kh??b? h?t h?ng.,3
"Thun m?ng, ???ng may ko ch?c, h? in ko n? ko ??p nh? qu?ng c? nh?ng shop nhi?t t? n?cho 3 sao! ",3
Mua 3 b? ch? h?l?????c 1 b? 2 b? nh??ng v?i nha v?. V?i th??u. K?t h?p gi?a qu?n v?i ?kh??h?p. ,3
"Gi?h?? tuy nhi?ch?t li?u ko ?c ??p cho l?m, nh?ngo?c?ng ko gi?ng tr??nh. Tr????u h?n, nh? ki?u h? fake 2, fake 3 g???
S?n ph?m kh??gi?ng m?? qu?n sai m?u tr??nh m?u kh?giao h? l?i m?u kh?mong shop l?n sau ??ng ???h? ?? cho m?i ng??i d? l?a ch?n ,3
??t 5 m???h?n ???c c??m??Shop giao thi?u h? . g?i ?i?n tho?i th?o b?c m?l?ao ? ? B?c gh?3
"V?i ?m?ng te,qu?n qu?? th??ng",3
H? nh?n kh??gi?ng h?.ch?t kh???c m?l?m nh?ng gi?h? l??p l??i.,4
"H? y h?, m?r?t ??p ",4
Ch?t v?i c?ng m?m,4
"Qu?n th?h?t b??m?ng nh? m? ¯ th??? ch?t n??h?n, b? m? mua n??n may l?i",4
Ch?t ok nh?ng g?i ch?a ???m?u m? ch?n. Gi?? n?th???ng ok. ,4
"Giao h? si?nhanh, nh??nh m? ngh? l?? n?i, kh??ngh? l?? in nh? n? m?c?ng cho??n so v?i ?nh",4
"Giao h? nhanh ch?? qu?n ???p nh?ng m?i?t ra m?",4
s?n ph?m ko gi?ng trong h?. Qu?n b? v?v?t b?n. ,4
8.5kg -7 ??n 9kg h?i b?? kh??gi?ng m?y  h?ng v?u?n ok ch?t l??ng ok v?i gi?i?n,4
 B?h?? 8 kg m??i ch?t,4
Ok,4
Qu?n ko ??p nh? h?. ,4
C?h?m? ko th? giun qu?n cho l?m ,4
"V?iun n?hay xoay tr???c tr? kh???u """,4
"Ch?t v?i thun m?m,h?p v?i gi?i?n",4
H? kh??gi?ng ?nh,4
h? mua sale 35k th?ship l?5k n??hung m?h?i x?n so v?i ?nh ch?t c?ng dc ph??p gi?i?n ,4
"B? n?h?t! Shop ??i b? kh? M?s?c h?ng c?ng. Nh?ng tay thun, b??c b? ch?t ",4
"H? gi?ng m?? , ch?t li?u t??ng ??i m?m ",4
Ch?t v?i ok. M?h?i ??m so v?i h?,4
"¯ th???m?u?n th??i m?H?ng, kh??gi?ng m?u",4
C?ng ???c. M?s?c ko gi?ng h? m?u,4
Ch?t l??ng r?t r?t t?t v?i m?c m????t m?nh?ng h? c???y c?ch? th?a ,4
