comment;rating;rating1
Vải có chút mỏng , cứng và nóng cổ tay cổ áo may to thô;3;2
Áo mỏng và có dính chút màu;2;2
Áo ổn lắm ạ, cổ áo hơi dơ, khá nhiều chỉ thừa, hình in hơi mờ không ổn lắm nhưng mà cũng được.;4;4
Vải mỏng ống tay hơi bé ;4;3
Quần nhiều chỉ thừa, ống không bằng nhau;2;2
màu nhạt hơn ảnh, nói chung tạm chấp nhận.;3;3
vải dày, mặc mùa hè hơi nóng.;3;3
hàng không giống ảnh đã thế còn bị rách một chỗ ;4;3
2 bộ hồng vàng chất tạm ổn. bộ màu tím và đỏ chất nhảo nhoét luôn không mê được . ;1;1
Nhận đủ số lượng,tuy nhiên thật sự ko hài lòng lắm,shop gửi hàng thấy dính màu trên sản phẩm vậy mà vẫn gửi cho khách đến chịu,nhắn tin cho shop ko thấy shop phản hồi mặc dù có.Các mẫu khác nhìn chung ổn phù hợp giá tiền 	;1;1
Hàng không giống hình.;1;3
Chả ra làm sao, đặt ba bộ khác nhau, lại giao hai bộ màu vàng y hệt nhau	;1;1
Hết sức thất vọng. 	;1;1
Khác hình hoàn toàn. 	;2;3
Nhận hàng thất vọng quá, sản phẩm bên ngoài khác ảnh shop đăng.	;2;2
Chất lượng kém, khuyên mọi người không nên mua.;1;1
giao hàng sai, mà không cho đổi;1;1
Vải mỏng, giặt bị nhão.;2;2
Chất vải và đường may rất xấu	;2;2
Chất kém quá	;2;1
Bộ quần Áo đỏ bị phai màu, cùng trong thành phố mà giao lâu quá.	;3;2
Mẫu này giao sai màu.mình đặt bóng vàng mà giao bóng cam.hết màu mà không thấy shop báo gì	;3;3
Mình đặt màu khác shop lại giao màu hồng.  Quá chán	;3;3
Bán đồ đưa tào lao . Nghĩ sao đưa 2 bộ giống nhau . Đặt cái này đưa cái khác  2 cái áo 3 cái quần giống nhau 	;3;2
Hàng không giống ảnh chụp	;3;3
Trên hình áo may nổi đám mây với ngôi nhà lại nhận được áo in, vải tạm ổn. Hơi đắt so với tầm giá. Mình mua ở nhà hành rẻ đẹp hơn nên khá thất vọng.;3;3
một chiếc áo bị lỗi, phù hợp với giá tiền của sản phẩm	;3;3
Hàng không giống như hình. Với giá cả như vậy tạm chấp nhận được. Mong shop khi bán đăng hình thật để người mua không bị hụt hẫng.	;3;3
Thun mỏng, đường may không chắc, hình in không nét, không đẹp như quảng cáo, nhưng shop nhiệt tình nên cho 3 sao 	;3;3
Mua 3 bộ chỉ hài lòng được 1 bộ 2 bộ nhà hồng với nha vàng. Vải thô xấu. Kết hơp giữa quần với áo không hợp. 	;3;3
Giá khá rẻ tuy nhiên chất liệu không đc đẹp cho lắm, nhìn ngoài cũng không giống trên ảnh. 	;2;3
Sản phẩm không giống mô tả quần sai mẫu trên ảnh mẫu khác giao hàng lại mẫu khác mong shop lần sau đăng đúng hình để cho mọi người dễ lựa chọn 	;3;3
