comment;rating
Vải có chút mỏng , cứng và nóng cổ tay cổ áo may to thô;4
Áo mỏng và có dính chút màu do in nên cho shop 4 sao;4
Áo ổn lắm ạ, cổ áo hơi dơ, khá nhiều chỉ thừa, hình in hơi mờ không ổn lắm nhưng mà cũng được. Trừ 1* vì cổ áo dơ thôi ạ.;4
Vải mỏng ống tay hơi bé ;4
 hàng ko giống ảnh đã thế còn bị rách một chỗ :((((( ;4
2 bộ hồng vàng chất tạm ổn. bộ màu tím và đỏ chất nhảo nhoét luôn không mê dc . ;1
Nhận đủ số lượng,tuy nhiên thật sự ko hài lòng lắm,shop gửi hàng thấy dính màu trên sản phẩm vậy mà vẫn gửi cho khách đến chịu,nhắn tin cho shop ko thấy shop phản hồi mặc dù có.Các mẫu khác nhìn chung ổn phù hợp giá tiền 	;1
Hàng không giống hình. Hàng fake	;1
Chả ra làm sao, đặt ba bộ khác nhau, lại giao hai bộ màu vàng y hệt nhau	;1
Áo hình tim  có chữ sissy girl giặt lên bị lem. Hết sức thất vọng. 	;1
Rất khác so với hình shop đăng ạ. Mọi người mua nhớ ib hỏi kĩ ảnh thật. Đừng như mình nhé. 	;2
Shop có gợi ý ko ưng có thể trả. Nhưng do ở xa nên mình nhận luôn. "	;2
Khác hình hoàn toàn. 	;2
Nhận hàng thất vọng quá, sản phẩm bên ngoài khác ảnh shop đăng.	;2
Chất vải và đường may rất xấu	;2
Chất kém quá	;2
Bộ quần Áo đỏ bị phai màu, cùng trong thành phố mà giao lâu quá.	;3
Mẫu này giao sai màu.mình đặt bóng vàng mà giao bóng cam.hết màu mà không thấy shop báo gì	;3
Mình đặt màu khác shop lại giao màu hồng.  Quá chán	;3
Bán đồ đưa tào lao . Nghĩ sao đưa 2 bộ giống nhau . Đặt cái này đưa cái khác  2 cái áo 3 cái quần giống nhau 	;3
Hàng ko giống ảnh chụp	;3
Trên hình áo may nổi đám mây với ngôi nhà lại nhận được áo in, vải tạm ổn. Hơi đắt so với tầm giá. Mình mua ở nhà hành rẻ đẹp hơn nên khá thất vọng... hàng giao nhanh	;3
1 chiếc áo bị lỗi, phù hợp với giá tiền của sản phẩm	;3
Hàng không giống như hình. Với giá cả như vậy tạm chấp nhận được. Mong shop khi bán đăng hình thật để người mua không bị hụt hẫng.	;3
Thun mỏng, đường may ko chắc, hình in ko nét, ko đẹp như quảng cáo, nhưng shop nhiệt tình nên cho 3 sao! 	;3
Mua 3 bộ chỉ hài lòng được 1 bộ 2 bộ nhà hồng với nha vàng. Vải thô xấu. Kết hơp giữa quần với áo không hợp. 	;3
Giá khá rẻ tuy nhiên chất liệu ko đc đẹp cho lắm, nhìn ngoài cũng ko giống trên ảnh. Trông đểu hơn, như kiểu hàng fake 2, fake 3 gì đó	;3
Sản phẩm không giống mô tả quần sai mẫu trên ảnh mẫu khác giao hàng lại mẫu khác mong shop lần sau đăng đúng hình để cho mọi người dễ lựa chọn 	;3
Đặt 5 món mà nhận được có 4 món. Shop giao thiếu hàng . gọi điện thoại thì ko bắc máy là sao ạ ? Bực ghê 	;3
Vải áo mỏng te,quần quá bình thường	;3
Hàng nhận không giống hình.chất không đc mát lắm nhưng giá thế là hợp lý rồi.	;4
Hàng y hình, màu rất đẹp 	;4
Chất vải cũng mềm	;4
Quần thì chất bún, mỏng nhẹ mát. Áo thì có vẻ chất nóng hơn, bộ mình mua nó còn may lỗi	;4
Chất ok nhưng gửi chưa đúng mẫu mình chọn. Giá rẻ nên thôi cũng ok. 	;4
Giao hàng siêu nhanh, nhìn ảnh mình nghĩ là hình nổi, không nghĩ là hình in như này, màu cũng choé hơn so với ảnh	;4
Giao hàng nhanh chóng, quần áo đẹp nhưng mà giặt ra màu 	;4
sản phẩm ko giống trong hình. Quần bị vài vết bẩn. 	;4
8.5kg -7 đến 9kg hơi bé vàng không giống mấy  hồng và quần ok chất lượng ok với giá tiền	;4
 Bé nhà mình 8 kg mà hơi chật	;4
Ok	;4
Quần ko đẹp như hình. 	;4
Cá nhân mình ko thích giun quần cho lắm 	;4
Vì giun này hay xoay tròn mặc trẻ khó chịu "	;4
Chất vải thun mềm,hợp với giá tiền	;4
Hàng không giống ảnh	;4
hàng mua sale 35k thêm ship là 15k nói chung màu hơi xỉn so với ảnh chất cũng dc phù hợp giá tiền 	;4
Bộ này hết! Shop đổi bộ khác. Màu sắc hồng cưng. Nhưng tay thun, bé mặc bị chật 	;4
Hàng giống mô tả , chất liệu tương đối mềm 	;4
Chất vải ok. Màu hơi đậm so với hình	;4
Áo thì đúng mà quần thì lại màu Hồng, không giống mẫu	;4
Cũng được. Màu sắc ko giống hình mẫu	;4
Chất lượng rất rất tốt vải mặc mùa hè rất mát nhưng hàng còn mấy cái chỉ thừa 	;4
sản phẩm chất liệu vải của quần không giống trên hình.tạm được,tiền nào của nấy 	;4
giao nhầm 1 bộ, nhưng ok vẫn dễ thương	;4
Thấy đánh giá cao nên mua nhưng khá thất vọng. 	;4
Tuy nhiên công bằng mà nói thì nó tương xứng với giá tiền. "	;4
2 bộ màu hồng nhưng 1 quần hồng 1 quần tím. Quần đấy mặc với cả 2 cái áo đều thấy lệch 	;4
Chất vải tạm đc so vs giá tiền có 1 cái lấm bẩn do mà cứ tưởng giặt sạch nhưng lại không sạch. Màu vàng phai màu rất mạnh	;4
Chất vải ok hợp với giá tiền	;4
Đẹp. 	;4
Màu đậm hơn trong ảnh, chưa mặc thử nên ko biết có vừa ko. Phù hợp giá tiền	;5
Áo quần đẹp, tiếc là nhận hàng mới biết mình quên ko áp mã sale, biết shop ở thái bình gần nhà lần sau sẽ ủng hộ tiếp	;5
Chất vải mát mặc thích hợp trong mùa hè, mỗi tội xa nên đợi hơi lâu, sai phân loại hàng chút nhưng vẫn ok	;5
Chất lượng phù hợp với giá tiền.nếu yêu cầu cao hơn về chất vải cụng như đường mấy thì cần suy nghĩ lại	;5
Shop giao hàng nhanh, đóng gói cẩn thận, giao đúng màu đúng size. Chất liệu vải ổn so với giá !	;5
Giao hàng chậm, hàng đóng gói cẩn thận. Giao đúng mẫu nhưng hàng có mùi hôi khó chịu.	;5
Trên ảnh thì đẹp ở ngoài chất vải hơi nóng mặc không thấm mồ hôi, shop giao hàng nhah đóng gói cẩn thận	;5
Chất hơi xấu 	;1
Màu không giống như hình đăng. 	;1
Đường may cẩu thả, áo không giống hình	;2
Màu quá khác xa hình	;2
9-12kg mà thấy hơi nhỏ	;3
Tạm đc thôi,giá cao so với chất lượng 	;3
Hàng nhận không giống hình.chất không đc mát lắm nh giá thế là hợp lý rồi.	;4
Áo thì đẹp,nhưng quần hơi xấu	;4
Bộ vàng hơi khác so với hình 	;4
dễ thương	;4
Tạm được	;4
Riêng bộ này shop nên chụp ảnh thật sản phẩm cho khách hàng đỡ sock nhé. 	;4
Bộ tim vàng ở ngoài màu khác so với trên ảnh nhé. Nhưng chất lượng vải được, kiểu dáng dễ thương nè. Shop trả lời tin nhắn rất tận tình 	;4
Giao hàng nhanh, chất vải mát nhưng màu không đúng. Mình đặt màu hồng mà lại giao màu tím. Chọn mãi mới đc góc màu gần giống thật, ảnh chụp sáng hơn rất nhiều	;4
Khác nhiều so với hình nhưng số với giá tiền thì vẫn 4*	;4
Áo rất đẹp vãi ok giá tiền lại rẻ nữa .... chúc shop mua may bán đắt nhé.....................,...,...................	;5
Màu ở ngoài đậm hơn trong ảnh ạ , vải cũng mềm mại . So với giá thì rẻ so với chợ ạ . Đóng gói cẩn thận . Giao hàng khá nhanh	;5
Sản phẩm đẹp, chất liệu mát, phù hợp với giá tiền, giao hàng nhanh, shop phục vụ nhanh....	;5
Chất vải mát mặc thích hợp trong mùa hè, mỗi tội xa nên đợi hơi lâu	;5
Áo tim vàng đẹp.chất vải tạm OK.giao hàng nhanh chóng...giá rẻ...	;5
Giao hàng nhanh hàng giống hình ảnh vải mềm mịn............	;5
Được nha 	;5
Hàng giống hình, đẹp, vải mát, giao hàng nhanh, khá hài lòng.	;5
Màu đậm hơn trong ảnh nha mn bé 10kg- 10tháng mặc bị dài rộng nha. Giao hàng siêu nhanh!!!!!!!!!!!!!!!!	;5
Chất liệu ok, đồ đẹp lắm..............................	;5
Quần áo rất xinh, phù hợp với giá tiền, chọn đúng size cho bé là ok nhé các mẹ.	;5
Sản phẩm phù hợp với giá tiền . Chất vải nóng , gió hàng nhanh . Mẫu mã giống hình nhưng chất liệu không đẹp 	;5
Em đã nhận được hàng đúng mẫu mẫu vải mềm nói chung là ok.	Có dịp sẽ ủng hộ shop nữa"	;5
Đồ đẹp lắm nha ạ bé mặc ok xinh lắm nha các mom hè rồi nên mặc bộ này rất mát vải cũng oke lắm nha	;5
Shop giao đúng mẫu, giao nhanh. Set 5 bộ in hình hơi xấu nhưng với giá này thì vẫn ok. Tặng shop 5*. Sẽ còn tiếp tục mua.	;5
Shop giao đủ số lượng.đúng màu đúng mẫu.tuy màu tím hơi buồn chút.nhung chất vải mềm mịn.	;5
